date,sector,vader_sentiment,finvader_sentiment
2020-01-03,Comm,0.15474545454545455,0.1536
2020-01-06,Comm,0.18076666666666666,0.01933333333333333
2020-01-07,Comm,0.15919374999999997,0.06509375
2020-01-08,Comm,0.17558,0.1444
2020-01-09,Comm,0.14944,0.035504999999999995
2020-01-10,Comm,0.21763333333333335,0.010116666666666663
2020-01-13,Comm,0.14297500000000002,-0.0511875
2020-01-14,Comm,0.012271428571428575,0.029214285714285717
2020-01-15,Comm,0.11655,0.059175
2020-01-16,Comm,-0.03062222222222223,-0.012922222222222224
2020-01-17,Comm,0.18227647058823526,0.09541764705882352
2020-01-21,Comm,0.11887500000000001,0.0613375
2020-01-22,Comm,-0.0007315789473684135,0.03136842105263158
2020-01-23,Comm,0.274125,-0.082925
2020-01-24,Comm,0.12577727272727274,0.16293636363636363
2020-01-27,Comm,0.10324583333333333,0.017133333333333337
2020-01-28,Comm,-0.061455,-0.022155
2020-01-29,Comm,0.07077333333333334,0.021546666666666665
2020-01-30,Comm,0.2760818181818182,0.10436363636363638
2020-01-31,Comm,0.04832222222222223,-0.0038388888888888886
2020-02-03,Comm,-0.03218666666666666,-0.010773333333333338
2020-02-04,Comm,0.1541857142857143,0.12153333333333334
2020-02-05,Comm,0.14227058823529412,0.19871764705882353
2020-02-06,Comm,0.05936666666666668,0.03312500000000001
2020-02-07,Comm,0.11078947368421055,0.06183684210526316
2020-02-10,Comm,0.06486153846153846,0.043461538461538475
2020-02-11,Comm,0.11606999999999998,0.052225
2020-02-12,Comm,0.13359583333333333,0.05426666666666668
2020-02-13,Comm,0.14704444444444442,0.021527777777777774
2020-02-14,Comm,0.09333,0.072765
2020-02-18,Comm,0.6249,0.5859
2020-02-19,Comm,0.06699565217391305,0.033578260869565224
2020-02-20,Comm,0.17224285714285711,0.12282857142857144
2020-02-21,Comm,0.10535333333333333,0.1383
2020-02-24,Comm,-0.07791428571428571,0.09237142857142856
2020-02-25,Comm,0.08485000000000001,0.09136
2020-02-26,Comm,0.07808000000000001,-0.06477999999999999
2020-02-27,Comm,0.1739,0.051590000000000004
2020-02-28,Comm,0.1239125,-0.11205000000000001
2020-03-02,Comm,-0.03708823529411764,-0.09467647058823529
2020-03-03,Comm,0.09938823529411765,0.11811764705882354
2020-03-04,Comm,0.09288181818181816,0.08887272727272727
2020-03-05,Comm,0.07007142857142856,0.018457142857142856
2020-03-06,Comm,0.14621,0.06606999999999999
2020-03-09,Comm,0.09315,-0.04468333333333333
2020-03-10,Comm,-0.007587499999999997,0.0019312500000000024
2020-03-11,Comm,-0.06936666666666666,-0.06644444444444444
2020-03-12,Comm,0.14388888888888887,0.07697777777777778
2020-03-13,Comm,-0.00865,-0.02546666666666667
2020-03-16,Comm,0.10541249999999999,0.023081249999999998
2020-03-17,Comm,0.013149999999999995,0.009950000000000002
2020-03-18,Comm,0.07985294117647058,0.06280588235294117
2020-03-19,Comm,0.06863636363636365,0.02914545454545455
2020-03-20,Comm,0.016164285714285718,0.04787857142857143
2020-03-23,Comm,0.04658333333333333,-0.10926666666666668
2020-03-24,Comm,0.13156071428571428,0.06504285714285714
2020-03-25,Comm,0.11122777777777777,0.05671666666666667
2020-03-26,Comm,0.16664,0.07895999999999999
2020-03-27,Comm,0.11303076923076921,0.16816923076923077
2020-03-30,Comm,0.2009181818181818,0.10117272727272728
2020-03-31,Comm,0.22336666666666669,0.07232666666666666
2020-04-01,Comm,0.13063333333333335,0.11969999999999999
2020-04-02,Comm,0.08778095238095239,0.09987142857142858
2020-04-03,Comm,-0.11654,-0.0172
2020-04-06,Comm,0.15645,0.08418125
2020-04-07,Comm,0.30491250000000003,0.07918750000000001
2020-04-08,Comm,0.150545,0.08275999999999999
2020-04-09,Comm,0.07796923076923076,0.05643846153846154
2020-04-13,Comm,-0.030118749999999996,-0.01565625
2020-04-14,Comm,-0.0491,-0.14029375
2020-04-15,Comm,0.20731249999999998,0.14639375000000002
2020-04-16,Comm,0.177175,0.03149375
2020-04-17,Comm,0.1505625,0.11807499999999999
2020-04-20,Comm,0.04840666666666667,0.06373333333333334
2020-04-21,Comm,0.09888333333333332,0.08891666666666669
2020-04-22,Comm,0.12034000000000002,0.07300666666666668
2020-04-23,Comm,0.01686538461538462,0.05411923076923077
2020-04-24,Comm,0.091675,0.0025500000000000015
2020-04-27,Comm,0.04894705882352942,0.04501764705882353
2020-04-28,Comm,0.11274285714285714,0.07751428571428572
2020-04-29,Comm,0.042436111111111105,-0.0025638888888888842
2020-04-30,Comm,0.07764736842105265,0.11003684210526316
2020-05-01,Comm,-0.016429629629629624,0.05505925925925926
2020-05-04,Comm,-0.02388947368421053,-0.003989473684210522
2020-05-05,Comm,0.1277565217391304,0.05743478260869565
2020-05-06,Comm,0.11122571428571429,0.15916857142857146
2020-05-07,Comm,-0.0200909090909091,0.051496969696969694
2020-05-08,Comm,0.055678260869565226,0.11064782608695653
2020-05-11,Comm,0.17895555555555556,0.16956666666666667
2020-05-12,Comm,0.15067826086956523,0.051039130434782615
2020-05-13,Comm,0.08201111111111112,0.05773333333333334
2020-05-14,Comm,-0.03610000000000001,-0.15975
2020-05-15,Comm,0.09082142857142858,0.00911428571428571
2020-05-18,Comm,0.10458125,0.05045625
2020-05-19,Comm,0.06212500000000001,0.021399999999999995
2020-05-20,Comm,0.05081,0.06519
2020-05-21,Comm,0.024207407407407407,0.09002222222222223
2020-05-22,Comm,0.03307272727272728,0.0055
2020-05-26,Comm,0.0477,0.10922000000000001
2020-05-27,Comm,0.125855,0.11983999999999999
2020-05-28,Comm,0.044486363636363636,0.010036363636363633
2020-05-29,Comm,0.07625217391304348,0.0510695652173913
2020-06-01,Comm,0.21220714285714284,0.1258142857142857
2020-06-02,Comm,0.16337647058823526,-0.015852941176470594
2020-06-03,Comm,0.3447444444444444,0.2069222222222222
2020-06-04,Comm,-0.09344166666666666,-0.00030000000000000165
2020-06-05,Comm,0.04573636363636364,-0.0010818181818181857
2020-06-08,Comm,0.0793272727272727,0.1340090909090909
2020-06-09,Comm,-0.019968749999999993,-0.05521875
2020-06-10,Comm,0.0,-0.004066666666666666
2020-06-11,Comm,-0.050799999999999984,-0.11938333333333333
2020-06-12,Comm,-0.0033214285714285702,0.09655000000000001
2020-06-15,Comm,0.11055555555555556,0.02943333333333333
2020-06-16,Comm,0.03999999999999999,0.004887499999999995
2020-06-17,Comm,0.010804347826086956,-0.025265217391304346
2020-06-18,Comm,0.08856666666666668,0.06860000000000001
2020-06-19,Comm,-0.008775000000000002,0.12347500000000002
2020-06-22,Comm,0.13573636363636365,-0.007872727272727269
2020-06-23,Comm,0.14536363636363636,0.014745454545454534
2020-06-24,Comm,0.21655,0.1047
2020-06-25,Comm,0.20215624999999998,0.0670375
2020-06-26,Comm,0.08204,0.05317000000000001
2020-06-29,Comm,0.31616,0.0514
2020-06-30,Comm,0.07707727272727273,0.09545
2020-07-01,Comm,0.07807777777777777,0.0018666666666666669
2020-07-02,Comm,-0.04573333333333333,0.0695
2020-07-06,Comm,-0.025414285714285716,0.013442857142857144
2020-07-07,Comm,0.048138095238095244,0.06810952380952381
2020-07-08,Comm,0.08132142857142857,0.08489285714285713
2020-07-09,Comm,-0.11547500000000001,0.058662499999999985
2020-07-10,Comm,0.21711666666666665,0.05313333333333333
2020-07-13,Comm,0.0,0.011625
2020-07-14,Comm,0.07229090909090909,0.05283636363636364
2020-07-15,Comm,0.11311,0.10053000000000001
2020-07-16,Comm,0.1026142857142857,0.18338571428571426
2020-07-17,Comm,0.11742857142857144,0.05984285714285714
2020-07-20,Comm,-0.4989,-0.53915
2020-07-21,Comm,0.15363749999999998,0.1059375
2020-07-22,Comm,0.18483,0.12078
2020-07-23,Comm,0.12845714285714285,0.11065714285714286
2020-07-24,Comm,-0.07498999999999999,-0.004679999999999995
2020-07-27,Comm,0.0423388888888889,-0.030005555555555556
2020-07-28,Comm,0.14368,0.06326
2020-07-29,Comm,0.1744777777777778,0.129
2020-07-30,Comm,0.01189166666666667,0.07609166666666665
2020-07-31,Comm,0.09852666666666667,0.10446666666666668
2020-08-03,Comm,0.20481666666666665,0.01035
2020-08-04,Comm,0.22839090909090906,0.0851
2020-08-05,Comm,0.027957142857142864,0.10720476190476191
2020-08-06,Comm,0.10105,0.11721
2020-08-07,Comm,0.20966923076923075,0.1400615384615385
2020-08-10,Comm,0.08345714285714285,0.022921428571428572
2020-08-11,Comm,0.23953636363636363,0.17576363636363637
2020-08-12,Comm,0.10028888888888889,0.0902222222222222
2020-08-13,Comm,0.15467142857142857,0.010499999999999999
2020-08-14,Comm,0.059199999999999996,0.12033
2020-08-17,Comm,-0.05303333333333333,-0.04766666666666666
2020-08-18,Comm,0.1826111111111111,0.12097777777777778
2020-08-19,Comm,0.04926153846153847,0.09176923076923077
2020-08-20,Comm,0.0,-0.0077
2020-08-21,Comm,0.016,0.0535375
2020-08-24,Comm,0.05682,0.11434000000000002
2020-08-25,Comm,0.010616666666666663,-0.13790000000000002
2020-08-26,Comm,0.0625,0.15445
2020-08-27,Comm,0.09420999999999999,0.06344
2020-08-28,Comm,0.06743333333333333,-0.001733333333333334
2020-08-31,Comm,0.10521428571428572,0.021085714285714284
2020-09-01,Comm,0.14021999999999998,0.09054
2020-09-02,Comm,0.210575,0.09665
2020-09-03,Comm,0.2347142857142857,0.1737
2020-09-04,Comm,0.20597,-0.009659999999999997
2020-09-08,Comm,0.22272857142857144,0.008285714285714285
2020-09-09,Comm,0.29078333333333334,-0.008716666666666664
2020-09-10,Comm,0.23836,0.28562000000000004
2020-09-11,Comm,-0.07716666666666666,-0.16266666666666665
