fund,date,gross_return,net_return
Combined Equal Weight,2023-07-20,0.0014145962126503103,0.0014145962126503875
Combined Equal Weight,2023-07-21,0.003490923216112246,0.0034909232161122183
Combined Equal Weight,2023-07-24,-0.0019643631749951666,-0.001964363174995154
Combined Equal Weight,2023-07-25,0.002921939450274057,0.0029219394502739693
Combined Equal Weight,2023-07-26,0.004385740905184213,0.004385740905184177
Combined Equal Weight,2023-07-27,-0.0034876241260207164,-0.003487624126020661
Combined Equal Weight,2023-07-28,0.004778237695945108,0.004778237695945098
Combined Equal Weight,2023-07-31,0.0007234954733570971,0.0007234954733570387
Combined Equal Weight,2023-08-01,-0.001676767319656945,-0.0016767673196569355
Combined Equal Weight,2023-08-02,-0.01760722554543934,-0.017607225545439364
Combined Equal Weight,2023-08-03,-0.00700557656514281,-0.007005576565142779
Combined Equal Weight,2023-08-04,-0.003047998051579566,-0.0030479980515795146
Combined Equal Weight,2023-08-07,0.007853063301314755,0.007853063301314744
Combined Equal Weight,2023-08-08,-0.00041396196849816796,-0.0004139619684981888
Combined Equal Weight,2023-08-09,-0.0020039056710249004,-0.0020039056710249303
Combined Equal Weight,2023-08-10,-0.0009152087186206452,-0.0009152087186206082
Combined Equal Weight,2023-08-11,0.0009789535037611967,0.000978953503761204
Combined Equal Weight,2023-08-14,0.0017471645415393208,0.0017471645415392256
Combined Equal Weight,2023-08-15,-0.015768398061357256,-0.015768398061357214
Combined Equal Weight,2023-08-16,-0.013305220169425744,-0.013305220169425702
Combined Equal Weight,2023-08-17,-0.018618058375637507,-0.01861805837563746
Combined Equal Weight,2023-08-18,0.0024718852413691387,0.0024718852413692094
Combined Equal Weight,2023-08-21,-0.0020742084303499277,-0.0020742084303498887
Combined Equal Weight,2023-08-22,-0.0064817016705362865,-0.0064817016705362995
Combined Equal Weight,2023-08-23,0.011351836612056928,0.011351836612056854
Combined Equal Weight,2023-08-24,-0.012212596412256194,-0.012212596412256138
Combined Equal Weight,2023-08-25,0.003910768741890751,0.003910768741890669
Combined Equal Weight,2023-08-28,0.005986453806978165,0.005986453806978265
Combined Equal Weight,2023-08-29,0.019163789948962447,0.019163789948962506
Combined Equal Weight,2023-08-30,-0.002387208164079165,-0.002387208164079113
Combined Equal Weight,2023-08-31,-0.008881755663568981,-0.008881755663568969
Combined Equal Weight,2023-09-01,0.0012194401811214356,0.0012194401811214117
Combined Equal Weight,2023-09-05,-0.007538113444384512,-0.007538113444384487
Combined Equal Weight,2023-09-06,-0.003237180952029944,-0.003237180952029961
Combined Equal Weight,2023-09-07,0.0011196778357605059,0.001119677835760502
