date,sector,vader_sentiment,finvader_sentiment
2020-01-03,Comm,0.08718,0.09235866666666667
2020-01-06,Comm,0.05423,0.0065699999999999995
2020-01-07,Comm,0.10428583333333333,0.057606666666666674
2020-01-08,Comm,0.17558,0.09332
2020-01-09,Comm,0.154382,0.047416
2020-01-10,Comm,0.16018,-0.027080000000000003
2020-01-13,Comm,0.028676666666666673,-0.09694333333333334
2020-01-14,Comm,0.0006191666666666678,0.0108175
2020-01-15,Comm,0.03452,0.020593333333333335
2020-01-16,Comm,0.00041833333333333165,0.010883333333333332
2020-01-17,Comm,0.11389,0.06245166666666666
2020-01-21,Comm,0.038040000000000004,0.01932
2020-01-22,Comm,-0.022039999999999997,0.01816333333333333
2020-01-23,Comm,0.10965,-0.07086
2020-01-24,Comm,0.17530257142857142,0.17371285714285714
2020-01-27,Comm,0.11109024242424241,0.008177090909090912
2020-01-28,Comm,-0.03633272727272728,-0.010422424242424243
2020-01-29,Comm,0.036708000000000005,0.0067149999999999935
2020-01-30,Comm,0.25270099999999995,0.11291500000000002
2020-01-31,Comm,-0.010649999999999998,-0.03582666666666666
2020-02-03,Comm,-0.18866727272727274,-0.18282727272727273
2020-02-04,Comm,0.1309225,0.10843500000000002
2020-02-05,Comm,0.11257899999999998,0.20932150000000002
2020-02-06,Comm,-0.006538333333333329,0.0239
2020-02-07,Comm,0.06914000000000001,0.025545952380952384
2020-02-10,Comm,0.03277599999999999,0.05646700000000001
2020-02-11,Comm,0.0914,0.04206
2020-02-12,Comm,-0.026111294117647045,-0.032351058823529406
2020-02-13,Comm,0.15365222222222222,0.06683833333333333
2020-02-14,Comm,0.09172261904761905,0.07716785714285715
2020-02-18,Comm,0.12498000000000001,0.11717999999999999
2020-02-19,Comm,0.04021809523809524,0.02304457142857143
2020-02-20,Comm,0.07368166666666666,0.05024166666666667
2020-02-21,Comm,0.038785,0.055214166666666675
2020-02-24,Comm,-0.03978333333333334,0.05649
2020-02-25,Comm,0.028283333333333334,0.030709999999999998
2020-02-26,Comm,0.12050666666666668,-0.01798
2020-02-27,Comm,0.12558666666666668,0.02384666666666667
2020-02-28,Comm,0.13194,-0.011079999999999996
2020-03-02,Comm,-0.09630999999999999,-0.14993357142857142
2020-03-03,Comm,0.09726666666666665,0.09419
2020-03-04,Comm,0.040232,0.048021999999999995
2020-03-05,Comm,0.10109666666666665,0.021496666666666667
2020-03-06,Comm,0.181035,0.08521666666666666
2020-03-09,Comm,0.027944999999999998,-0.012309999999999998
2020-03-10,Comm,-0.010929999999999999,-0.008664761904761903
2020-03-11,Comm,-0.044323999999999995,-0.040745333333333335
2020-03-12,Comm,0.022200000000000004,0.03312
2020-03-13,Comm,-0.004152,-0.033122
2020-03-16,Comm,0.07825299999999999,0.048723
2020-03-17,Comm,-0.01231133333333333,0.013208222222222227
2020-03-18,Comm,0.05186599999999999,0.021330666666666668
2020-03-19,Comm,-0.02648399999999999,-0.0028459999999999987
2020-03-20,Comm,0.03651833333333333,0.03406000000000001
2020-03-23,Comm,0.013974999999999998,-0.048604999999999995
2020-03-24,Comm,0.16331284415584416,0.09480590909090908
2020-03-25,Comm,0.1751407619047619,0.0844832380952381
2020-03-26,Comm,0.17759866666666665,0.12598066666666669
2020-03-27,Comm,0.12920166666666666,0.11148166666666666
2020-03-30,Comm,0.11372933333333332,0.060190666666666656
2020-03-31,Comm,0.183099,0.052564000000000013
2020-04-01,Comm,0.12033333333333333,0.09763
2020-04-02,Comm,0.06144666666666667,0.08195000000000001
2020-04-03,Comm,-0.09556,0.007093333333333336
2020-04-06,Comm,0.2131947619047619,0.14545285714285713
