ticker,date,vader_sentiment,finvader_sentiment
ABBV,2020-01-02,0.1468,0.131
ABBV,2020-01-03,0.0,0.0
ABBV,2020-01-06,0.10115,0.012899999999999998
ABBV,2020-01-07,0.36258,0.16754
ABBV,2020-01-08,0.23786666666666667,0.22146666666666667
ABBV,2020-01-09,0.0,0.0
ABBV,2020-01-10,0.027899999999999998,0.0434
ABBV,2020-01-13,0.31245,0.0184
ABBV,2020-01-14,0.0,0.017633333333333334
ABBV,2020-01-15,0.2496,0.379725
ABBV,2020-01-16,0.29857500000000003,0.22904999999999998
ABBV,2020-01-17,0.0,0.0
ABBV,2020-01-21,0.057025,-0.06072500000000001
ABBV,2020-01-22,0.0,0.0
ABBV,2020-01-23,0.11315,0.02
ABBV,2020-01-24,0.4286,0.1749
ABBV,2020-01-27,0.304875,0.11439999999999999
ABBV,2020-01-28,0.5719,0.0258
ABBV,2020-01-29,0.31845,0.19395
ABBV,2020-01-30,0.32985,0.18234999999999998
ABBV,2020-01-31,0.42252,0.22862
ABBV,2020-02-03,0.101075,0.012899999999999995
ABBV,2020-02-04,0.0258,0.396
ABBV,2020-02-05,0.03288,-0.008199999999999995
ABBV,2020-02-06,0.26932500000000004,0.19190000000000002
ABBV,2020-02-07,0.11488181818181818,0.23276363636363637
ABBV,2020-02-10,0.05793333333333333,0.16803333333333334
ABBV,2020-02-11,0.1468,0.12539999999999998
ABBV,2020-02-12,0.4364666666666666,0.2704666666666667
ABBV,2020-02-13,0.0,0.0077
ABBV,2020-02-14,0.18479999999999996,0.18655
ABBV,2020-02-18,0.11733750000000001,0.081475
ABBV,2020-02-19,0.24695,0.01225
ABBV,2020-02-20,0.0,0.0
ABBV,2020-02-21,0.0,0.0
ABBV,2020-02-24,0.0,0.015449999999999998
ABBV,2020-02-25,0.11333333333333334,0.012499999999999999
ABBV,2020-02-26,-0.09106666666666667,-0.08493333333333335
ABBV,2020-02-27,-0.12040000000000001,-0.006900000000000001
ABBV,2020-02-28,0.2023,0.0413
ABBV,2020-03-02,0.315025,0.016450000000000006
ABBV,2020-03-03,0.3178,0.008600000000000002
ABBV,2020-03-04,0.5654,0.1965
ABBV,2020-03-05,0.06743333333333333,0.005999999999999999
ABBV,2020-03-06,0.2033,0.07488571428571429
ABBV,2020-03-09,0.11729,0.043359999999999996
ABBV,2020-03-10,0.0,0.02195
ABBV,2020-03-11,0.2554375,0.1278375
ABBV,2020-03-12,0.19068000000000002,-0.037219999999999996
ABBV,2020-03-13,0.0,0.12170000000000002
ABBV,2020-03-16,0.0386,0.15188
ABBV,2020-03-17,0.19853333333333334,0.06593333333333333
ABBV,2020-03-18,0.148625,0.1055
ABBV,2020-03-19,0.1778,-0.08825000000000001
ABBV,2020-03-20,0.26335,0.023200000000000002
ABBV,2020-03-23,0.10614545454545454,0.0664909090909091
ABBV,2020-03-24,0.28076666666666666,0.128
ABBV,2020-03-25,-0.01206666666666667,-0.08428333333333332
