fund,fund_type,basis,n_days,ann_return,ann_vol,sharpe,max_drawdown,mean_turnover,total_cost
Equity Equal Weight,baseline,gross,250,0.17553931546492185,0.13328199107026678,1.3170520192212378,-0.10386547606353835,0.0,0.0
Equity Equal Weight,baseline,net,250,0.17553931546492185,0.13328199107026667,1.317052019221239,-0.10386547606353835,0.0,0.0
Equity Minimum Variance,baseline,gross,250,0.05383503493532005,0.1097051628772769,0.4907247163521675,-0.08611002079198349,0.0005227215085452863,6.534018856816078e-05
Equity Minimum Variance,baseline,net,250,0.053765628354978334,0.10970499666921602,0.49009279419690593,-0.08612422160854916,0.0005227215085452863,6.534018856816078e-05
Equity Maximum Sharpe,baseline,gross,250,0.39110853735196915,0.19091290126341412,2.0486228786200935,-0.12157598289465443,0.004507682313101949,0.0005634602891377436
Equity Maximum Sharpe,baseline,net,250,0.3903186319959142,0.1908889103827985,2.044742312233801,-0.12161984074856136,0.004507682313101949,0.0005634602891377436
Equity Risk Parity,baseline,gross,250,0.14221026962491834,0.1252796596211032,1.1351425287634098,-0.09631871448727958,6.193572340798137e-05,7.741965425997671e-06
Equity Risk Parity,baseline,net,250,0.14220135596015915,0.12527951768319961,1.1350726646294298,-0.09631987576385581,6.193572340798137e-05,7.741965425997671e-06
Equity Minimum CVaR,extension,gross,250,0.08853358758967822,0.11564057954171972,0.7655927351846062,-0.07210464261551719,0.0018584934135341684,0.00023231167669177105
Equity Minimum CVaR,extension,net,250,0.08827871153947986,0.11564176520984293,0.7633808717749144,-0.07217548928960338,0.0018584934135341684,0.00023231167669177105
Crypto Equal Weight,baseline,gross,365,0.9161948154990895,0.49822754775022154,1.838908385608596,-0.27581502523966805,0.0,0.0
Crypto Equal Weight,baseline,net,365,0.9161948154990895,0.49822754775022154,1.838908385608596,-0.27581502523966805,0.0,0.0
Crypto Minimum Variance,baseline,gross,365,1.5064508134728976,0.418198962067992,3.6022347019311214,-0.1883767015489617,8.169257866463775e-05,1.490889560629639e-05
Crypto Minimum Variance,baseline,net,365,1.506413445301003,0.4181989566865974,3.602145393274916,-0.18837710812149266,8.169257866463775e-05,1.490889560629639e-05
Crypto Maximum Sharpe,baseline,gross,365,0.9494687044554921,0.4605007044299485,2.061818136914328,-0.3116798395699364,0.0016488008765540014,0.00030090615997110535
Crypto Maximum Sharpe,baseline,net,365,0.948882175664963,0.4604952969369441,2.0605686572188686,-0.31177474089009016,0.0016488008765540014,0.00030090615997110535
Crypto Risk Parity,baseline,gross,365,0.9652393270729913,0.48624435699042384,1.9850910621303126,-0.2679505858453124,3.7494699369419206e-05,6.842782634919005e-06
Crypto Risk Parity,baseline,net,365,0.9652258794011637,0.48624430670994695,1.9850636111960431,-0.26795323648016134,3.7494699369419206e-05,6.842782634919005e-06
Crypto Minimum CVaR,extension,gross,365,1.5452279795267745,0.436706504006506,3.538367222265492,-0.19965405013314452,0.00023738911230120638,4.332351299497016e-05
Crypto Minimum CVaR,extension,net,365,1.5451177132317455,0.43670512423166874,3.5381259057818437,-0.19966587779045786,0.00023738911230120638,4.332351299497016e-05
Combined Equal Weight,baseline,gross,250,0.25039830105458405,0.1515410521486007,1.6523463279708803,-0.10750162875795855,0.0,0.0
Combined Equal Weight,baseline,net,250,0.25039830105458405,0.15154105214860075,1.6523463279708797,-0.10750162875795855,0.0,0.0
Combined Minimum Variance,baseline,gross,250,0.05383503481510599,0.10970516741831074,0.49072469494377213,-0.08611000595503482,0.0005227212515773686,6.534015644717108e-05
Combined Minimum Variance,baseline,net,250,0.0537656282688892,0.10970500119997616,0.4900927731715925,-0.0861242067198279,0.0005227212515773686,6.534015644717108e-05
Combined Maximum Sharpe,baseline,gross,250,0.29672155621185436,0.17698830740050095,1.6765037225900636,-0.10392653366602111,0.005371437779549856,0.000671429722443732
Combined Maximum Sharpe,baseline,net,250,0.29584420025432423,0.17696215131262405,1.6717936466068462,-0.10404965783410702,0.005371437779549856,0.000671429722443732
Combined Risk Parity,baseline,gross,250,0.17910624737038283,0.1299955709738672,1.3777873048181637,-0.09768595459544638,6.462538292279875e-05,8.078172865349843e-06
Combined Risk Parity,baseline,net,250,0.17909664618137566,0.12999544068950405,1.3777148277773106,-0.09768741115475477,6.462538292279875e-05,8.078172865349843e-06
Combined Minimum CVaR,extension,gross,250,0.088533587589809,0.11564057954171078,0.7655927351857964,-0.0721046426155234,0.001858493413548588,0.00023231167669357354
Combined Minimum CVaR,extension,net,250,0.08827871153961175,0.11564176520983391,0.7633808717761145,-0.07217548928960893,0.001858493413548588,0.00023231167669357354
Equity Minimum Variance + VADER,fusion,gross,250,0.07451400916885542,0.1105747732481602,0.6738789235554252,-0.08227936195107932,0.009517210251045183,0.0011896512813806479
Equity Minimum Variance + VADER,fusion,net,250,0.07322618476889398,0.1105721735876533,0.6622478548895104,-0.0824086369348398,0.009517210251045183,0.0011896512813806479
Equity Minimum Variance + finVADER,fusion,gross,250,0.05052950459723271,0.10956723650990553,0.46117348768456473,-0.08758339153037253,0.00663874220266731,0.0008298427753334137
Equity Minimum Variance + finVADER,fusion,net,250,0.04965108833733467,0.10956735195645871,0.4531558666952694,-0.08802059573400223,0.00663874220266731,0.0008298427753334137
Combined Minimum Variance + VADER,fusion,gross,250,0.0745139872006495,0.11057477584118044,0.6738787090798594,-0.08227934982468366,0.00951721352734023,0.0011896516909175288
Combined Minimum Variance + VADER,fusion,net,250,0.07322616238392254,0.1105721761833639,0.6622476368963764,-0.0824086249740974,0.00951721352734023,0.0011896516909175288
Combined Minimum Variance + finVADER,fusion,gross,250,0.05052951809733286,0.10956723969294387,0.4611735974999374,-0.08758334820377434,0.006638739335091392,0.000829842416886424
Combined Minimum Variance + finVADER,fusion,net,250,0.049651102205434894,0.1095673551249369,0.4531559801623302,-0.0880205518472611,0.006638739335091392,0.000829842416886424
