fund,family,model,basis,baseline_ann_return,fused_ann_return,delta_ann_return,baseline_sharpe,fused_sharpe,delta_sharpe,baseline_max_drawdown,fused_max_drawdown,baseline_turnover,fused_turnover
Equity Minimum Variance + VADER,equity,VADER,gross,0.05383503493532005,0.07451400916885542,0.020678974233535374,0.4907247163521675,0.6738789235554252,0.1831542072032577,-0.08611002079198349,-0.08227936195107932,0.0005227215085452863,0.009517210251045183
Equity Minimum Variance + VADER,equity,VADER,net,0.053765628354978334,0.07322618476889398,0.01946055641391564,0.49009279419690593,0.6622478548895104,0.1721550606926045,-0.08612422160854916,-0.0824086369348398,0.0005227215085452863,0.009517210251045183
Equity Minimum Variance + finVADER,equity,finVADER,gross,0.05383503493532005,0.05052950459723271,-0.003305530338087337,0.4907247163521675,0.46117348768456473,-0.02955122866760279,-0.08611002079198349,-0.08758339153037253,0.0005227215085452863,0.00663874220266731
Equity Minimum Variance + finVADER,equity,finVADER,net,0.053765628354978334,0.04965108833733467,-0.004114540017643664,0.49009279419690593,0.4531558666952694,-0.03693692750163652,-0.08612422160854916,-0.08802059573400223,0.0005227215085452863,0.00663874220266731
Combined Minimum Variance + VADER,combined,VADER,gross,0.05383503481510599,0.0745139872006495,0.020678952385543514,0.49072469494377213,0.6738787090798594,0.18315401413608723,-0.08611000595503482,-0.08227934982468366,0.0005227212515773686,0.00951721352734023
Combined Minimum Variance + VADER,combined,VADER,net,0.0537656282688892,0.07322616238392254,0.019460534115033346,0.4900927731715925,0.6622476368963764,0.17215486372478395,-0.0861242067198279,-0.0824086249740974,0.0005227212515773686,0.00951721352734023
Combined Minimum Variance + finVADER,combined,finVADER,gross,0.05383503481510599,0.05052951809733286,-0.003305516717773127,0.49072469494377213,0.4611735974999374,-0.029551097443834717,-0.08611000595503482,-0.08758334820377434,0.0005227212515773686,0.006638739335091392
Combined Minimum Variance + finVADER,combined,finVADER,net,0.0537656282688892,0.049651102205434894,-0.004114526063454305,0.4900927731715925,0.4531559801623302,-0.03693679300926228,-0.0861242067198279,-0.0880205518472611,0.0005227212515773686,0.006638739335091392
